endTime,artistName,trackName,msPlayed
2019-06-16 18:23,Fabiana Cantilo,Mi enfermedad,789
2019-06-16 18:23,Los Siete Delfines,Dale Salida,198330
2019-06-16 18:23,Patricio Rey y sus Redonditos de Ricota,Caña Seca y un Membrillo,1160
2019-06-16 18:23,Patricio Rey y sus Redonditos de Ricota,Caña Seca y un Membrillo,1439
2019-06-16 18:27,Miguel Mateos - Zas,Tirá para Arriba,7012
2019-06-16 18:27,Los Auténticos Decadentes,Corazón,766
2019-06-16 18:27,Pedro Y Pablo,Donde Va la Gente Cuando Llueve,18278
2019-06-16 18:27,Fito Paez,Giros,225240
2019-06-16 18:29,No Te Va Gustar,Ese maldito momento,133630
2019-06-16 18:29,Pappo,Juntos a la Par,371
2019-06-16 18:29,Divididos,Par Mil,603
2019-06-16 18:29,El Cuarteto De Nos,No llora,2066
2019-06-16 18:29,Los Siete Delfines,Post Crucifixion,325
2019-06-16 18:29,Sui Generis,Mariel Y El Capitan,882
2019-06-16 18:33,Pappo,Juntos a la Par,7032
2019-06-16 18:33,Divididos,Par Mil,198706
2019-06-16 18:33,Luis Miguel,Ahora Te Puedes Marchar,812
2019-06-16 18:36,Pappo,Juntos a la Par,161133
2019-06-16 18:39,Luis Miguel,Ahora Te Puedes Marchar,191973
2019-06-16 18:41,Fito Paez,Es sólo una cuestión de actitud,151461
2019-06-16 18:41,Sumo,La Rubia Tarada,557
2019-06-16 18:41,Ella Es Tan Cargosa,En Redondel,603
2019-06-16 18:41,El Mató a un Policía Motorizado,Ahora Imagino Cosas,975
2019-06-16 18:41,El Mató a un Policía Motorizado,El Tesoro,1068
2019-06-16 18:46,Virus,Pronta Entrega,273306
2019-06-16 18:52,Juan Carlos Baglietto,Un Loco En La Calesita,376426
2019-06-16 18:53,Tan Bionica,La Depresión,1462
2019-06-16 18:53,Attaque 77,Hacelo por Mí,952
2019-06-16 18:53,Los Pericos,Complicado y Aturdido (En Vivo),835
2019-06-16 18:53,Riff,Susy Cadillac,35253
2019-06-16 18:56,Soda Stereo,De Música Ligera - Remasterizado 2007,213066
2019-06-16 18:57,Serú Girán,A Los Jóvenes De Ayer - Remastered,1253
2019-06-16 18:57,Los Violadores,Represión,1300
2019-06-16 18:57,La Mosca Tse-Tse,Para No Verte Más,22453
2019-06-16 18:57,Pedro Y Pablo,Yo Vivo en Esta Ciudad,1439
2019-06-16 18:57,Serú Girán,Esperando Nacer,766
2019-06-16 18:57,Andrés Calamaro,Algo contigo,6339
2019-06-16 18:57,Los Piojos,El Farolito,650
2019-06-16 18:57,Charly García,Fanky,6535
2019-06-16 18:57,Virus,Amor Descartable,975
2019-06-16 18:57,Riff,Lily Malone,2182
2019-06-16 19:02,Los Fabulosos Cadillacs,Vasos Vacíos - Remasterizado 2008,279986
2019-06-16 19:56,Los Fabulosos Cadillacs,Padre Nuestro,270592
2019-06-16 20:01,Los Fabulosos Cadillacs,Siguiendo La Luna - Remasterizado 2008,291973
2019-06-16 20:05,Los Fabulosos Cadillacs,El Satánico Dr. Cadillac - Remasterizado 2008,241333
2019-06-16 20:08,Los Fabulosos Cadillacs,Vos Sabes - Versión Remasterizada 2008,189893
2019-06-16 20:13,Los Fabulosos Cadillacs,Calaveras y Diablitos,264026
